Date,Title,Author,Link,Status
2019-12-30 07:47:56,Google Pixel 4a renders include a headphone jack and hole-punch display,699688,https://techcrunch.com/2019/12/30/google-pixel-4a-renders-include-a-headphone-jack-and-hole-punch-display/,publish
2019-12-26 07:19:53,Cosmo and Google create a mobile Watch Party for the new season of &#8216;You&#8217;,31035538,https://techcrunch.com/2019/12/26/cosmo-watch-party/,publish
2019-12-20 03:23:03,France slaps Google with $166M antitrust fine for opaque and inconsistent ad rules,39990176,https://techcrunch.com/2019/12/20/france-slaps-google-with-166m-antitrust-fine-for-opaque-and-inconsistent-ad-rules/,publish
2019-12-19 09:28:22,Google buys game developer Typhoon Studios,89192944,https://techcrunch.com/2019/12/19/google-buys-game-developer-typhoon-studios/,publish
2019-12-18 07:57:44,UK&#8217;s competition regulator asks for views on breaking up Google,39990176,https://techcrunch.com/2019/12/18/uks-competition-regulator-asks-for-views-on-breaking-up-google/,publish
2019-12-18 07:11:18,"Amazon, Apple, Google and Zigbee join forces for an open smart home standard",699688,https://techcrunch.com/2019/12/18/amazon-apple-google-and-zigbee-join-forces-for-an-open-smart-home-standard/,publish
2019-12-17 09:00:08,Google details its approach to cloud-native security,34511731,https://techcrunch.com/2019/12/17/new-google-whitepaper-details-its-approach-to-cloud-native-security/,publish
2019-12-17 06:00:33,Google has fired another worker-activist,9528656,https://techcrunch.com/2019/12/17/google-has-fired-another-worker-activist/,publish
2019-12-13 12:48:52,"This Week in Apps: Apple Arcade&#8217;s new franchise, Fortnite takes on Google Play, the Disney+ app footprint",2414667,https://techcrunch.com/2019/12/13/this-week-in-apps-apple-arcades-new-franchise-fortnite-takes-on-google-play-the-disney-app-footprint/,publish
2019-12-12 10:33:56,Google makes moving data to its cloud easier,34511731,https://techcrunch.com/2019/12/12/google-makes-moving-data-to-its-cloud-easier/,publish
2019-12-12 07:00:34,"Interpreter, Google’s real-time translator, comes to mobile",699688,https://techcrunch.com/2019/12/12/interpreter-googles-real-time-translator-comes-to-mobile/,publish
2019-12-11 13:14:44,&#8216;Disney Plus’ was Google’s top US trending search term in 2019,2414667,https://techcrunch.com/2019/12/11/disney-plus-was-the-1-u-s-google-search-term-in-2019/,publish
2019-12-11 09:00:43,Google Cloud gets a new family of cheaper general-purpose compute instances,34511731,https://techcrunch.com/2019/12/11/google-cloud-gets-a-new-family-of-cheaper-general-purpose-compute-instances/,publish
2019-12-11 08:15:22,PayPal&#8217;s exiting COO Bill Ready to join Google as its new president of Commerce,2414667,https://techcrunch.com/2019/12/11/paypals-exiting-coo-bill-ready-to-join-google-as-its-new-president-of-commerce/,publish
2019-12-10 09:00:49,Google Assistant gets a customized alarm based on weather and time,699688,https://techcrunch.com/2019/12/10/google-assistant-gets-a-customized-alarm-based-on-weather-and-time/,publish
2019-12-09 07:45:59,Google’s Pixels get a ‘feature drop’ with call screen and camera enhancements,699688,https://techcrunch.com/2019/12/09/googles-pixels-get-a-feature-drop-with-call-screen-and-camera-enhancements/,publish
2019-12-05 12:34:52,Google&#8217;s AI-powered voice recorder and transcription app comes to older Pixel phones,2414667,https://techcrunch.com/2019/12/05/googles-a-i-powered-voice-recorder-and-transcription-app-comes-to-older-pixel-phones/,publish
2019-12-04 11:17:09,Daily Crunch: Google&#8217;s founders step back,31035538,https://techcrunch.com/2019/12/04/daily-crunch-sundar-pichai/,publish
2019-12-03 13:45:50,Google CEO Sundar Pichai is taking over as CEO of Alphabet,31035538,https://techcrunch.com/2019/12/03/sundar-pichai-alphabet-ceo/,publish
2019-12-03 09:00:10,Google Photos adds a chat feature to its app,2414667,https://techcrunch.com/2019/12/03/google-photos-adds-a-chat-feature-to-its-app/,publish
2019-12-03 08:36:31,Apple and Google reveal the best apps and games of 2019,2414667,https://techcrunch.com/2019/12/03/apple-and-google-reveal-the-best-apps-and-games-of-2019/,publish
2019-12-03 06:34:56,Fired Google workers will file federal complaint alleging the company wrongfully terminated them,9528656,https://techcrunch.com/2019/12/03/fired-google-workers-will-file-federal-complaint-alleging-the-company-wrongfully-terminated-them/,publish
2019-11-27 13:44:26,Apple and Google Maps accommodate Russia&#8217;s annexation of Crimea,12084691,https://techcrunch.com/2019/11/27/apple-and-google-maps-accommodate-russias-annexation-of-crimea/,publish
2019-11-26 11:48:15,Google is giving away 3 months of Disney+ to new Chromebook owners,2414667,https://techcrunch.com/2019/11/26/google-is-giving-away-3-months-of-disney-to-new-chromebook-owners/,publish
2019-11-26 11:17:09,Daily Crunch: Google fires employee activists,31035538,https://techcrunch.com/2019/11/26/daily-crunch-google-firing/,publish
2019-11-25 13:41:30,Google employee activist says she&#8217;s been fired,9528656,https://techcrunch.com/2019/11/25/google-employee-activist-says-shes-been-fired/,publish
2019-11-21 13:52:03,Google employees will rally in protest of alleged worker retaliation,9528656,https://techcrunch.com/2019/11/21/google-employees-will-rally-in-protest-of-alleged-worker-retaliation/,publish
2019-11-21 09:00:42,Google will now pay up to $1.5 million for very specific Android exploits,5188242,https://techcrunch.com/2019/11/21/google-will-now-pay-up-to-1-5-million-for-very-specific-android-exploits/,publish
2019-11-21 02:14:09,Amnesty International latest to slam surveillance giants Facebook and Google as &#8216;incompatible&#8217; with human rights,39990176,https://techcrunch.com/2019/11/21/amnesty-international-latest-to-slam-surveillance-giants-facebook-and-google-as-incompatible-with-human-rights/,publish
2019-11-21 01:00:48,"G Suite users get more AI writing help, Google Assistant calendar integration and more",34511731,https://techcrunch.com/2019/11/21/g-suite-users-get-more-ai-writing-help-google-assistant-calendar-integration-and-more/,publish
2019-11-20 16:31:30,Google limits political ad targeting and all &#8216;demonstrably false claims&#8217;,12084691,https://techcrunch.com/2019/11/20/google-limits-political-ad-targeting-and-all-demonstrably-false-claims/,publish
2019-11-20 12:44:06,Google Cloud launches Bare Metal Solution,34511731,https://techcrunch.com/2019/11/20/google-cloud-launches-bare-metal-solution/,publish
2019-11-20 11:04:25,Smart Compose is coming to Google Docs,34511731,https://techcrunch.com/2019/11/20/smart-compose-is-coming-to-google-docs/,publish
2019-11-20 08:02:22,Anyone can now create maps and stories on Google Earth,2414667,https://techcrunch.com/2019/11/20/anyone-can-now-create-maps-and-stories-on-google-earth/,publish
2019-11-20 01:00:10,Google makes converting VMs to containers easier with the GA of Migrate for Anthos,34511731,https://techcrunch.com/2019/11/20/google-makes-converting-vms-to-containers-easier-with-the-ga-of-migrate-for-anthos/,publish
2019-11-19 10:10:14,Google Assistant introduces personalized playlists of audio news,31035538,https://techcrunch.com/2019/11/19/google-assistant-your-news-update/,publish
2019-11-18 11:42:48,Google acquires CloudSimple,5188242,https://techcrunch.com/2019/11/18/google-acquires-cloudsimple/,publish
2019-11-18 08:54:12,Google Maps tests a social networking feature with the ability to &#8216;follow&#8217; Local Guides,2414667,https://techcrunch.com/2019/11/18/google-maps-tests-a-social-networking-feature-with-the-ability-to-follow-local-guides/,publish
2019-11-15 12:08:44,Three of Apple and Google’s former star chip designers launch NUVIA with $53M in series A funding,15408904,https://techcrunch.com/2019/11/15/three-of-apple-and-googles-former-star-chip-designers-launch-nuvia-with-53m-in-series-a-funding/,publish
2019-11-14 09:30:58,"Google finishes the install of its private Curie cable, announces Panama branch",34511731,https://techcrunch.com/2019/11/14/google-finishes-the-install-of-its-private-curie-cable-announces-panama-branch/,publish
2019-11-14 09:00:20,Google Search now helps you pronounce &#8216;quokka&#8217;,34511731,https://techcrunch.com/2019/11/14/google-search-now-helps-you-pronounce-quokka/,publish
2019-11-14 09:00:02,Google brings RCS support in its Android Messages app to the US,34511731,https://techcrunch.com/2019/11/14/google-brings-rcs-support-in-its-android-messages-app-to-the-u-s/,publish
2019-11-14 08:58:30,Amazon and Google double down on hands-free recipes to help sell their smart displays,2414667,https://techcrunch.com/2019/11/14/amazon-and-google-double-down-on-hands-free-recipes-to-help-sell-their-smart-displays/,publish
2019-11-13 09:50:21,Google Maps adds a new translation feature that speaks place names out loud,2414667,https://techcrunch.com/2019/11/13/google-maps-adds-a-new-translation-feature-that-speaks-place-names-out-loud/,publish
2019-11-13 04:21:29,Google to offer checking accounts in partnership with banks starting next year,5302483,https://techcrunch.com/2019/11/13/google-to-offer-checking-accounts-in-partnership-with-banks-starting-next-year/,publish
2019-11-12 09:46:43,"Google&#8217;s CallJoy phone agent for small businesses gets smarter, more conversational",2414667,https://techcrunch.com/2019/11/12/googles-calljoy-phone-agent-for-small-businesses-gets-smarter-more-conversational/,publish
2019-11-11 11:29:59,Google Chrome to identify and label slow websites,2414667,https://techcrunch.com/2019/11/11/google-chrome-to-identify-and-label-slow-websites/,publish
2019-11-09 06:00:48,"This Week in Apps: Photoshop for iPad bombs, Google Play&#8217;s new rewards program, iOS bug fixes",2414667,https://techcrunch.com/2019/11/09/this-week-in-apps-why-photoshop-for-ipad-bombed-google-plays-new-rewards-program-ios-bug-fixes/,publish
2019-11-08 00:28:44,Google hires former Disney and Star executive to head its India business,133574269,https://techcrunch.com/2019/11/08/google-india-head-sanjay-gupta/,publish
2019-11-07 00:00:16,"Google Pay comes to Curve, the banking platform that consolidates all your cards into one",1180458,https://techcrunch.com/2019/11/07/google-pay-comes-to-curve/,publish
2019-11-06 09:25:33,Google enlists mobile security firms to help rid Google Play of bad Android apps,133574210,https://techcrunch.com/2019/11/06/google-play-android-apps-security/,publish
2019-11-05 11:56:07,Daily Crunch: Google announces open-source chip project,31035538,https://techcrunch.com/2019/11/05/daily-crunch-google-announces-open-source-chip-project/,publish
2019-11-05 07:02:30,"Pigeon, a &#8216;Waze for public transit&#8217; from Google&#8217;s Area 120, expands across the US",2414667,https://techcrunch.com/2019/11/05/pigeon-a-waze-for-public-transit-from-googles-area-120-expands-across-the-u-s/,publish
2019-11-05 06:00:38,"Google launches OpenTitan, an open-source secure chip design project",133574210,https://techcrunch.com/2019/11/05/google-opentitan-secure-chip/,publish
2019-11-04 09:47:06,"Google Play&#8217;s US Store adds a rewards program with points for purchases, downloads &#038; more",2414667,https://techcrunch.com/2019/11/04/google-plays-u-s-store-adds-a-rewards-program-with-points-for-purchases-downloads-more/,publish
2019-11-04 09:06:38,The Google News mobile app now supports bilingual users,2414667,https://techcrunch.com/2019/11/04/the-google-news-mobile-app-now-supports-bilingual-users/,publish
2019-11-04 06:00:19,"You can now use Azure to manage resources anywhere, including on AWS and Google Cloud",34511731,https://techcrunch.com/2019/11/04/you-can-now-use-azure-to-manage-resources-anywhere-including-on-aws-and-google-cloud/,publish
2019-11-01 12:57:42,Can a combined Google/Fitbit take on the Apple Watch?,699688,https://techcrunch.com/2019/11/01/can-a-combined-google-fitbit-take-on-the-apple-watch/,publish
